Date,Position,Trade Outcome,Entry Price,Exit Price,Points Gained,Exit Time
2015-08-19,Short,Closed End of Day,8459.35,8493.9,47.35,2015-08-19 15:15:00
2015-08-20,Short,Closed End of Day,8470.15,8387.2,82.95,2015-08-20 15:15:00
2015-08-21,Short,Closed End of Day,8266.05,8284.65,82.95,2015-08-21 15:15:00
2015-08-24,Short,Closed End of Day,8033.2,7798.95,234.25,2015-08-24 15:15:00
2015-08-25,Short,Closed End of Day,7850.3,7906.35,234.25,2015-08-25 15:15:00
2015-08-26,Short,Closed End of Day,7891.7,7789.15,102.55,2015-08-26 15:15:00
2015-08-27,Short,Closed End of Day,7899.0,7960.25,102.55,2015-08-27 15:15:00
2015-08-28,Short,Closed End of Day,8076.9,7995.75,81.15,2015-08-28 15:15:00
2015-08-31,Short,Closed End of Day,7972.35,7971.0,1.35,2015-08-31 15:15:00
2015-09-01,Short,Closed End of Day,7902.8,7781.4,121.4,2015-09-01 15:15:00
2015-09-02,Short,Closed End of Day,7809.85,7727.65,82.2,2015-09-02 15:15:00
2015-09-03,Short,Closed End of Day,7806.55,7831.25,82.2,2015-09-03 15:15:00
2015-09-04,Short,SL Hit,7667.15,7767.15,-100.0,2015-09-04 09:15:00
2015-09-07,Short,Closed End of Day,7641.95,7552.95,89.0,2015-09-07 15:15:00
2015-09-08,Short,SL Hit,7561.45,7661.45,-100.0,2015-09-08 13:30:00
2015-09-09,Short,Closed End of Day,7801.15,7804.85,89.0,2015-09-09 15:15:00
2015-09-10,Short,SL Hit,7704.3,7804.3,-100.0,2015-09-10 15:15:00
2015-09-11,Short,Closed End of Day,7837.9,7783.65,54.25,2015-09-11 15:15:00
2015-09-14,Short,Closed End of Day,7787.1,7867.85,54.25,2015-09-14 15:15:00
2015-09-15,Short,Closed End of Day,7842.55,7818.45,24.1,2015-09-15 15:15:00
2015-09-16,Short,Closed End of Day,7868.8,7888.15,24.1,2015-09-16 15:15:00
2015-09-18,Short,Closed End of Day,8029.4,7967.4,62.0,2015-09-18 15:15:00
2015-09-21,Short,Closed End of Day,7937.5,7983.4,62.0,2015-09-21 15:15:00
2015-09-22,Short,Closed End of Day,7991.45,7789.8,201.65,2015-09-22 15:15:00
2015-09-23,Short,SL Hit,7770.3,7870.3,-100.0,2015-09-23 14:15:00
2015-09-24,Short,Closed End of Day,7825.75,7868.5,201.65,2015-09-24 15:15:00
2015-09-28,Short,Closed End of Day,7867.45,7802.45,65.0,2015-09-28 15:15:00
2015-09-29,Short,SL Hit,7711.75,7811.75,-100.0,2015-09-29 11:00:00
